employeeId;DH020001;DH020022;DH020024;DH020021;DH020008;DH020023;DH020019;DH020018;DH020004;DH020009;DH000003;DH020089;DH020025;DH020026;Sum;
DH00184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00184;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00185;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00188;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00196;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00197;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00199;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00204;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00206;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00207;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00208;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00211;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00215;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00218;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00223;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00224;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00225;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00227;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00230;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00233;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00234;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00236;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00239;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00244;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00245;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00246;0;0;0;5.5;0;0;0;0;0;0;0;0;0;0;"DH00246;0;0;0;5,5;0;0;0;0;0;0;0;0;0;0";
DH00247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00247;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00248;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00249;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00254;0;0;0;5;0;0;0;0;0;0;0;0;0;0;"DH00254;0;0;0;5;0;0;0;0;0;0;0;0;0;0";
DH00251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00251;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00252;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00253;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00257;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00258;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00259;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00260;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00261;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00262;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00265;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00267;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00269;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00270;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00271;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00272;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00274;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00275;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00277;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00278;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00279;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00280;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00283;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00285;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00286;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00287;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00288;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00289;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00290;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
